UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,-26.636308,30.632064,1281.567,0,0,0,No Data,No Data
1179727206,2007-05-21T06:00:06Z,-26.636162,30.632014,1281.747,0,0168828,0,0,"No Data,No Data"
1179727208,2007-05-21T06:00:08Z,-26.636113,30.632027,1281.701,0,0224867,0,0,"No Data,No Data"
1179728304,2007-05-21T06:18:24Z,-26.659599,30.616361,1278.424,3,066566,0,0,"No Data,No Data"
1179728307,2007-05-21T06:18:27Z,-26.659556,30.616437,1278.898,3,075561,0,0,"No Data,No Data"
1179728312,2007-05-21T06:18:32Z,-26.659469,30.616556,1280.278,3,090846,0,0,"No Data,No Data"
1179728314,2007-05-21T06:18:34Z,-26.659440,30.616584,1280.719,3,09512,0,0,"No Data,No Data"
1179728317,2007-05-21T06:18:37Z,-26.659381,30.616640,1281.133,3,103734,0,0,"No Data,No Data"
1179728321,2007-05-21T06:18:41Z,-26.659352,30.616735,1281.413,3,113737,0,0,"No Data,No Data"
1179728324,2007-05-21T06:18:44Z,-26.659293,30.616775,1281.756,3,121382,0,0,"No Data,No Data"
1179728328,2007-05-21T06:18:48Z,-26.659219,30.616846,1282.332,3,132198,0,0,"No Data,No Data"
1179728329,2007-05-21T06:18:49Z,-26.659190,30.616875,1282.6,3,136495,0,0,"No Data,No Data"
1179728335,2007-05-21T06:18:55Z,-26.659058,30.616972,1282.649,3,154071,0,0,"No Data,No Data"
1179728337,2007-05-21T06:18:57Z,-26.659029,30.617002,1282.608,3,158458,0,0,"No Data,No Data"
1179728498,2007-05-21T06:21:38Z,-26.655951,30.619880,1284.19,3,605024,0,0,"No Data,No Data"
1179728556,2007-05-21T06:22:36Z,-26.654639,30.620602,1287.159,3,76779,0,0,"No Data,No Data"
1179728573,2007-05-21T06:22:53Z,-26.654967,30.620323,1286.068,3,813699,0,0,"No Data,No Data"
1179728583,2007-05-21T06:23:03Z,-26.655146,30.620123,1285.798,3,841859,0,0,"No Data,No Data"
1179728589,2007-05-21T06:23:09Z,-26.655231,30.620003,1286.143,3,857056,0,0,"No Data,No Data"
1179728594,2007-05-21T06:23:14Z,-26.655318,30.619885,1286.266,3,872225,0,0,"No Data,No Data"
1179728599,2007-05-21T06:23:19Z,-26.655409,30.619771,1286.348,3,88748,0,0,"No Data,No Data"
1179728614,2007-05-21T06:23:34Z,-26.655665,30.619455,1286.567,3,929942,0,0,"No Data,No Data"
1179728622,2007-05-21T06:23:42Z,-26.655790,30.619300,1286.235,3,950662,0,0,"No Data,No Data"
1179728635,2007-05-21T06:23:55Z,-26.656046,30.619098,1286.057,3,985594,0,0,"No Data,No Data"
1179728645,2007-05-21T06:24:05Z,-26.656252,30.618946,1285.491,4,013077,0,0,"No Data,No Data"
1179728650,2007-05-21T06:24:10Z,-26.656370,30.618872,1285.126,4,02816,0,0,"No Data,No Data"
1179728659,2007-05-21T06:24:19Z,-26.656568,30.618771,1284.779,4,052396,0,0,"No Data,No Data"
1179728667,2007-05-21T06:24:27Z,-26.656745,30.618666,1284.799,4,074752,0,0,"No Data,No Data"
1179728671,2007-05-21T06:24:31Z,-26.656859,30.618644,1284.879,4,087705,0,0,"No Data,No Data"
1179728675,2007-05-21T06:24:35Z,-26.656939,30.618687,1284.724,4,09772,0,0,"No Data,No Data"
1179728680,2007-05-21T06:24:40Z,-26.656922,30.618824,1284.232,4,111508,0,0,"No Data,No Data"
1179728689,2007-05-21T06:24:49Z,-26.656842,30.619043,1284.0,4,135014,0,0,"No Data,No Data"
1179728693,2007-05-21T06:24:53Z,-26.656779,30.619159,1284.0,4,148534,0,0,"No Data,No Data"
1179728707,2007-05-21T06:25:07Z,-26.656556,30.619427,1285.529,4,185005,0,0,"No Data,No Data"
1179728721,2007-05-21T06:25:21Z,-26.656294,30.619721,1285.66,4,226271,0,0,"No Data,No Data"
1179728729,2007-05-21T06:25:29Z,-26.656159,30.619866,1284.224,4,24713,0,0,"No Data,No Data"
1179728743,2007-05-21T06:25:43Z,-26.655899,30.620123,1282.976,4,285776,0,0,"No Data,No Data"
1179728757,2007-05-21T06:25:57Z,-26.655623,30.620385,1282.538,4,326,0,0,"No Data,No Data"
1179728763,2007-05-21T06:26:03Z,-26.655504,30.620501,1281.884,4,343584,0,0,"No Data,No Data"
1179728777,2007-05-21T06:26:17Z,-26.655254,30.620749,1281.771,4,380746,0,0,"No Data,No Data"
1179728790,2007-05-21T06:26:30Z,-26.655001,30.620963,1282.051,4,416041,0,0,"No Data,No Data"
1179728795,2007-05-21T06:26:35Z,-26.654897,30.621065,1281.757,4,431484,0,0,"No Data,No Data"
1179728804,2007-05-21T06:26:44Z,-26.654737,30.621237,1281.008,4,456153,0,0,"No Data,No Data"
1179728813,2007-05-21T06:26:53Z,-26.654579,30.621410,1279.409,4,480792,0,0,"No Data,No Data"
1179728816,2007-05-21T06:26:56Z,-26.654508,30.621461,1279.11,4,490158,0,0,"No Data,No Data"
1179728822,2007-05-21T06:27:02Z,-26.654596,30.621338,1279.991,4,505827,0,0,"No Data,No Data"
1179728847,2007-05-21T06:27:27Z,-26.655042,30.620859,1282.509,4,574615,0,0,"No Data,No Data"
1179728861,2007-05-21T06:27:41Z,-26.655310,30.620592,1282.514,4,614536,0,0,"No Data,No Data"
1179728888,2007-05-21T06:28:08Z,-26.655798,30.620062,1283.7,4,690278,0,0,"No Data,No Data"
1179728901,2007-05-21T06:28:21Z,-26.656021,30.619817,1284.425,4,725122,0,0,"No Data,No Data"
1179728913,2007-05-21T06:28:33Z,-26.656261,30.619595,1285.504,4,759869,0,0,"No Data,No Data"
